"Döda efter region och år"

"region","2012","2013","2014","2015","2016","2017"
"1814 Lekeberg",58,85,70,85,71,85
"1860 Laxå",79,86,66,82,91,80
"1861 Hallsberg",165,176,179,164,180,180
"1862 Degerfors",143,124,117,122,137,132
"1863 Hällefors",117,121,118,95,106,103
"1864 Ljusnarsberg",66,104,82,85,68,70
"1880 Örebro",1196,1300,1153,1167,1240,1149
"1881 Kumla",208,165,169,219,181,189
"1882 Askersund",135,147,114,144,140,150
"1883 Karlskoga",416,383,375,392,410,369
"1884 Nora",116,115,117,119,121,125
"1885 Lindesberg",303,287,258,265,256,283
"1904 Skinnskatteberg",59,53,67,75,59,63
"1907 Surahammar",108,115,109,131,121,105
"1960 Kungsör",95,91,95,76,87,77
"1961 Hallstahammar",170,190,178,180,156,194
"1962 Norberg",75,62,72,72,77,73
"1980 Västerås",1240,1191,1206,1224,1327,1300
"1981 Sala",241,221,247,221,255,256
"1982 Fagersta",178,162,152,164,157,159
"1983 Köping",297,264,261,294,305,278
"1984 Arboga",177,158,152,170,171,165
"2021 Vansbro",103,101,93,101,97,77
"2023 Malung-Sälen",141,136,113,127,137,138
"2026 Gagnef",96,98,87,106,95,115
"2029 Leksand",207,195,182,176,162,184
"2031 Rättvik",155,138,150,161,173,130
"2034 Orsa",107,68,88,94,98,93
"2039 Älvdalen",97,84,93,99,91,98
"2061 Smedjebacken",131,129,130,105,149,128
"2062 Mora",272,245,245,215,215,214
"2080 Falun",551,532,532,558,513,519
"2081 Borlänge",521,463,505,465,513,502
"2082 Säter",119,133,105,121,108,118
"2083 Hedemora",188,193,171,192,184,181
"2084 Avesta",306,265,251,287,274,279
"2085 Ludvika",332,366,303,366,342,315
"2101 Ockelbo",87,72,98,89,68,68
"2104 Hofors",148,130,127,153,133,118
"2121 Ovanåker",132,143,153,179,138,150
"2132 Nordanstig",110,118,114,119,122,131
"2161 Ljusdal",296,221,274,275,246,267
"2180 Gävle",1001,947,915,938,938,952
"2181 Sandviken",473,423,409,473,438,422
"2182 Söderhamn",336,348,336,350,329,381
"2183 Bollnäs",320,375,351,357,323,361
"2184 Hudiksvall",432,422,441,438,419,416
"2260 Ånge",156,163,165,147,139,157
"2262 Timrå",234,199,200,246,210,221
"2280 Härnösand",300,313,301,316,326,289
"2281 Sundsvall",976,980,1024,1040,1009,1025
"2282 Kramfors",275,267,290,306,265,292
"2283 Sollefteå",343,325,290,288,290,310
"2284 Örnsköldsvik",663,656,638,673,638,649
"2303 Ragunda",113,74,94,88,100,87
"2305 Bräcke",82,100,97,103,92,91
"2309 Krokom",131,160,153,135,150,142
"2313 Strömsund",170,188,194,176,169,191
"2321 Åre",85,120,95,100,95,97
"2326 Berg",116,113,103,109,101,106
"2361 Härjedalen",160,163,137,151,160,170
"2380 Östersund",604,596,622,638,560,585
"2401 Nordmaling",90,105,95,103,96,91
"2403 Bjurholm",36,44,31,36,31,34
"2404 Vindeln",82,80,64,70,64,75
"2409 Robertsfors",97,98,79,85,82,81
"2417 Norsjö",86,68,64,43,61,67
"2418 Malå",55,51,45,41,43,38
"2421 Storuman",70,95,73,88,99,83
"2422 Sorsele",55,54,45,41,40,33
"2425 Dorotea",46,55,46,46,54,57
"2460 Vännäs",83,90,67,88,87,85
"2462 Vilhelmina",116,101,70,100,88,96
"2463 Åsele",65,60,58,54,52,56
"2480 Umeå",871,828,834,864,832,847
"2481 Lycksele",155,151,161,163,162,156
"2482 Skellefteå",803,846,845,840,819,803
"2505 Arvidsjaur",83,79,129,95,102,90
"2506 Arjeplog",43,48,55,44,49,40
"2510 Jokkmokk",68,80,82,87,85,64
"2513 Överkalix",75,63,64,61,51,59
"2514 Kalix",221,217,216,235,217,233
"2518 Övertorneå",76,78,73,78,80,62
"2521 Pajala",105,127,110,100,119,92
"2523 Gällivare",246,227,220,236,229,247
"2560 Älvsbyn",119,103,92,109,109,107
"2580 Luleå",702,634,713,661,664,727
"2581 Piteå",420,432,437,446,455,457
"2582 Boden",305,311,267,323,279,319
"2583 Haparanda",147,115,138,118,132,109
"2584 Kiruna",243,247,221,231,242,257
