"Levande födda efter region och år"

"region","2012","2013","2014","2015","2016","2017"
"1885 Lindesberg",215,240,242,239,259,249
"1904 Skinnskatteberg",40,45,43,45,38,39
"1907 Surahammar",103,90,90,95,119,99
"1960 Kungsör",66,83,88,73,77,93
"1961 Hallstahammar",172,187,151,156,171,177
"1962 Norberg",62,49,41,61,51,58
"1980 Västerås",1670,1636,1737,1695,1712,1755
"1981 Sala",210,221,216,215,224,245
"1982 Fagersta",158,149,158,166,150,170
"1983 Köping",245,280,270,253,288,289
"1984 Arboga",126,125,138,139,144,150
"2021 Vansbro",66,57,65,60,54,61
"2023 Malung-Sälen",92,80,79,93,89,107
"2026 Gagnef",119,98,117,114,104,128
"2029 Leksand",114,137,120,148,142,137
"2031 Rättvik",75,67,78,62,66,91
"2034 Orsa",51,38,59,45,49,64
"2039 Älvdalen",62,49,67,46,48,54
"2061 Smedjebacken",97,96,94,106,114,105
"2062 Mora",179,173,173,161,198,182
"2080 Falun",647,576,658,647,653,635
"2081 Borlänge",579,613,667,640,660,611
"2082 Säter",91,110,104,101,133,127
"2083 Hedemora",154,130,113,168,145,176
"2084 Avesta",196,196,213,229,269,247
"2085 Ludvika",297,295,302,319,339,339
"2101 Ockelbo",58,51,42,59,36,47
"2104 Hofors",89,79,97,102,100,90
"2121 Ovanåker",117,114,90,111,115,112
"2132 Nordanstig",90,95,82,76,94,104
"2161 Ljusdal",164,166,161,175,177,168
"2180 Gävle",1120,1066,1149,1149,1107,1143
"2181 Sandviken",369,376,388,371,410,402
"2182 Söderhamn",236,240,249,269,249,229
"2183 Bollnäs",262,234,231,276,281,286
"2184 Hudiksvall",369,363,347,351,352,361
"2260 Ånge",67,73,76,86,79,68
"2262 Timrå",164,169,188,163,167,159
"2280 Härnösand",226,229,218,236,234,243
"2281 Sundsvall",1023,1013,980,1071,1117,1047
"2282 Kramfors",142,129,148,157,162,181
"2283 Sollefteå",175,180,193,205,209,193
"2284 Örnsköldsvik",585,586,616,577,608,582
"2303 Ragunda",56,48,47,49,36,60
"2305 Bräcke",62,43,52,47,59,63
"2309 Krokom",135,158,160,177,157,164
"2313 Strömsund",123,116,111,115,101,126
"2321 Åre",113,97,99,110,123,139
"2326 Berg",52,46,67,72,76,75
